feature,family,mean_pi_S,selected_S,mean_pi_U,selected_U
Schlegel21_HNR,Schlegel21,0.988,True,,False
Schlegel21_PF,Schlegel21,,False,0.775,True
ddgfcc_0_std,GFCC,0.5605,True,0.553,True
ddmfcc_7_std,MFCC,,False,0.804,True
dpncc_1_std,PNCC,,False,0.8715,True
dpncc_8_std,PNCC,,False,0.8205,True
e_std,Temporal,,False,0.97,True
gfcc_0_mean,GFCC,1.0,True,,False
gfcc_1_std,GFCC,,False,0.7095,True
gfcc_4_std,GFCC,,False,0.5085,True
gfcc_6_mean,GFCC,0.902,True,,False
gfcc_7_mean,GFCC,,False,0.993,True
gfcc_7_std,GFCC,,False,0.7105,True
gfcc_8_mean,GFCC,1.0,True,0.9995,True
jit_factor,GAT,,False,0.937,True
lpc_11_mean,LPC,,False,0.793,True
lpc_4_mean,LPC,,False,0.6145,True
lpcc_10_mean,LPC,0.8015,True,0.9995,True
lpcc_2_mean,LPC,,False,0.9755,True
lpcc_4_mean,LPC,0.5185,True,,False
lpcc_5_mean,LPC,1.0,True,,False
lpcc_6_mean,LPC,,False,0.999,True
lpcc_7_std,LPC,,False,0.741,True
lpcc_8_mean,LPC,,False,0.723,True
lpcc_9_mean,LPC,1.0,True,,False
lsf_3_mean,LPC,,False,0.839,True
lsf_4_std,LPC,1.0,True,,False
lsf_8_std,LPC,,False,0.9545,True
mfcc_11_mean,MFCC,,False,0.611,True
mfcc_2_mean,MFCC,0.999,True,,False
mfcc_2_std,MFCC,,False,0.8185,True
mfcc_6_mean,MFCC,0.4165,True,0.9855,True
mfcc_7_mean,MFCC,0.767,True,,False
plpcc_10_mean,PLPCC,,False,0.542,True
plpcc_12_mean,PLPCC,,False,0.582,True
plpcc_1_std,PLPCC,,False,0.748,True
plpcc_4_std,PLPCC,,False,0.658,True
pncc_4_std,PNCC,,False,0.8745,True
pncc_6_mean,PNCC,0.6295,True,,False
pncc_7_std,PNCC,,False,0.482,True
pncc_9_std,PNCC,,False,0.6595,True
ppq5,GAT,,False,0.697,True
s_contrast_band_1_mean,Spectral,,False,1.0,True
s_contrast_band_5_mean,Spectral,0.7965,True,,False
s_contrast_band_7_mean,Spectral,1.0,True,0.398,True
s_entropy_mean,Spectral,0.756,True,,False
s_flux_mean,Spectral,1.0,True,,False
s_logdist_std,Spectral,,False,0.936,True
ucla_flux,UCLA,,False,1.0,True
zcr_std,Temporal,,False,0.5845,True
